file_a,file_b,problem_id,is_plagiarized,jaccard,winnow
dataset_preprocessed\primeNumber\1_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.1124,0.1143
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\3_primeNumber.py,primeNumber,0,0.028,0.0217
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1,0.1,0.0732
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.0571,0.0426
dataset_preprocessed\primeNumber\2_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.0918,0.0444
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\4_primeNumber.py,primeNumber,1,0.0349,0.0294
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.1348,0.0811
dataset_preprocessed\primeNumber\3_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.0659,0.027
dataset_preprocessed\primeNumber\4_primeNumber.py,dataset_preprocessed\primeNumber\5_primeNumber.py,primeNumber,1,0.2162,0.2333
dataset_preprocessed\primeNumber\4_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.1622,0.1667
dataset_preprocessed\primeNumber\5_primeNumber.py,dataset_preprocessed\primeNumber\6_primeNumber.py,primeNumber,1,0.1667,0.2121
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\2_reverseLL.py,reverseLL,0,0.4072,0.3768
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\3_reverseLL.py,reverseLL,0,0.2727,0.2317
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1,0.7652,0.7736
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1,0.5101,0.4355
dataset_preprocessed\reverseLL\1_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.6483,0.6102
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\3_reverseLL.py,reverseLL,0,0.2066,0.1724
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1,0.4,0.3768
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1,0.2921,0.2329
dataset_preprocessed\reverseLL\2_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.3864,0.3714
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\4_reverseLL.py,reverseLL,1,0.2201,0.1744
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1,0.2289,0.1852
dataset_preprocessed\reverseLL\3_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.2488,0.2143
dataset_preprocessed\reverseLL\4_reverseLL.py,dataset_preprocessed\reverseLL\5_reverseLL.py,reverseLL,1,0.5099,0.459
dataset_preprocessed\reverseLL\4_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.5316,0.4844
dataset_preprocessed\reverseLL\5_reverseLL.py,dataset_preprocessed\reverseLL\6_reverseLL.py,reverseLL,1,0.4096,0.3235
